Year,Name,姓名,Gender,Whether or Not Eng Name,English Name,Political Affiliation,Whether or Not Pro-Beijing,FC/GC,Constituency
1998,Rita FAN HSU Lai-tai,范徐麗泰,2,1,Rita,Independent,1,FC,Election Committee
1998,Kenneth TING Woo-shou,丁午壽,1,1,Kenneth,Liberal,1,FC,Industrial - First
1998,James TIEN Pei-chun,田北俊,1,1,James,Liberal,1,FC,Commercial - First
1998,David CHU Yu-lin,朱幼麟,1,1,David,Progressive Alliance,1,FC,Election Committee
1998,HO Sai-chu,何世柱,1,0,,Liberal,1,FC,Election Committee
1998,Cyd HO Sau-lan,何秀蘭,2,1,Cyd,Frontier,0,GC,New Territories East
1998,Edward HO Sing-tin,何承天,1,1,Edward,Liberal,1,FC,"Architectural, Surveying and Planning"
1998,Albert HO Chun-yan,何俊仁,1,1,Albert,Democratic,0,GC,New Territories West
1998,Michael HO Mun-ka,何敏嘉,1,1,Michael,Democratic,0,FC,Health Services
1998,Raymond HO Chung-tai,何鍾泰,1,1,Raymond,Breakfast Group,1,FC,Engineering
1998,LEE Wing-tat,李永達,1,0,,Democratic,0,GC,New Territories West
1998,LEE Cheuk-yan,李卓人,1,0,,Frontier,0,GC,New Territories West
1998,Martin LEE Chu-ming,李柱銘,1,1,Martin,Democratic,0,GC,Hong Kong Island
1998,Eric LI Ka-cheung,李家祥,1,1,Eric,Breakfast Group,1,FC,Accountancy
1998,LEE Kai-ming,李啟明,1,0,,FLU,1,FC,Labour
1998,David LI Kwok-po,李國寶,1,1,David,Independent,1,FC,Finance
1998,Fred LI Wah-ming,李華明,1,1,Fred,Democratic,0,GC,Kowloon East
1998,LUI Ming-wah,呂明華,1,0,,Breakfast Group,1,FC,Industrial - Second
1998,NG Leung-sing,吳亮星,1,0,,Breakfast Group,1,FC,Election Committee
1998,NG Ching-fai,吳清輝,1,0,,New Forum,1,FC,Election Committee
1998,Margaret NG,吳靄儀,2,1,Margaret,Independent,0,FC,Legal
1998,Selina CHOW LIANG Shuk-yee,周梁淑怡,2,1,Selina,Liberal,1,FC,Wholesale and Retail
