,Year,Name,姓名,Gender,Whether or Not Eng Name,English Name,Political Affiliation,Whether or Not Pro-Beijing,FC/GC,Constituency
0,1998,Rita FAN HSU Lai-tai,范徐麗泰,2,1,Rita,Independent,1,FC,Election Committee
1,1998,Kenneth TING Woo-shou,丁午壽,1,1,Kenneth,Liberal,1,FC,Industrial - First
2,1998,James TIEN Pei-chun,田北俊,1,1,James,Liberal,1,FC,Commercial - First
3,1998,David CHU Yu-lin,朱幼麟,1,1,David,Progressive Alliance,1,FC,Election Committee
4,1998,HO Sai-chu,何世柱,1,0,,Liberal,1,FC,Election Committee
5,1998,Cyd HO Sau-lan,何秀蘭,2,1,Cyd,Frontier,0,GC,New Territories East
6,1998,Edward HO Sing-tin,何承天,1,1,Edward,Liberal,1,FC,"Architectural, Surveying and Planning"
7,1998,Albert HO Chun-yan,何俊仁,1,1,Albert,Democratic,0,GC,New Territories West
8,1998,Michael HO Mun-ka,何敏嘉,1,1,Michael,Democratic,0,FC,Health Services
9,1998,Raymond HO Chung-tai,何鍾泰,1,1,Raymond,Breakfast Group,1,FC,Engineering
10,1998,LEE Wing-tat,李永達,1,0,,Democratic,0,GC,New Territories West
11,1998,LEE Cheuk-yan,李卓人,1,0,,Frontier,0,GC,New Territories West
12,1998,Martin LEE Chu-ming,李柱銘,1,1,Martin,Democratic,0,GC,Hong Kong Island
13,1998,Eric LI Ka-cheung,李家祥,1,1,Eric,Breakfast Group,1,FC,Accountancy
14,1998,LEE Kai-ming,李啟明,1,0,,FLU,1,FC,Labour
15,1998,David LI Kwok-po,李國寶,1,1,David,Independent,1,FC,Finance
16,1998,Fred LI Wah-ming,李華明,1,1,Fred,Democratic,0,GC,Kowloon East
17,1998,LUI Ming-wah,呂明華,1,0,,Breakfast Group,1,FC,Industrial - Second
18,1998,NG Leung-sing,吳亮星,1,0,,Breakfast Group,1,FC,Election Committee
19,1998,NG Ching-fai,吳清輝,1,0,,New Forum,1,FC,Election Committee
20,1998,Margaret NG,吳靄儀,2,1,Margaret,Independent,0,FC,Legal
21,1998,Selina CHOW LIANG Shuk-yee,周梁淑怡,2,1,Selina,Liberal,1,FC,Wholesale and Retail
22,1998,Ronald ARCULLI,夏佳理,1,1,Ronald,Liberal,1,FC,Real Estate and Construction
23,1998,MA Fung-kwok,馬逢國,1,0,,New Forum,1,FC,Election Committee
24,1998,James TO Kun-sun,涂謹申,1,1,James,Democratic,0,GC,Kowloon West
25,1998,CHEUNG Man-kwong,張文光,1,0,,Democratic,0,FC,Education
26,1998,Ambrose CHEUNG Wing-sum,張永森,1,1,Ambrose,Independent,1,FC,Urban Council
27,1998,HUI Cheung-ching,許長青,1,0,,Progressive Alliance,1,FC,Import and Export
28,1998,Christine LOH,陸恭蕙,2,1,Christine,Citizens Party,0,GC,Hong Kong Island
29,1998,CHAN Kwok-keung,陳國強,1,0,,DAB,1,FC,Labour
30,1998,CHAN Yuen-han,陳婉嫻,2,0,,DAB,1,GC,Kowloon East
31,1998,Bernard CHAN,陳智思,1,1,Bernard,Breakfast Group,1,FC,Insurance
32,1998,CHAN Wing-chan,陳榮燦,1,0,,DAB,1,FC,Labour
33,1998,CHAN Kam-lam,陳鑑林,1,0,,DAB,1,FC,Election Committee
34,1998,Edward LEONG Che-hung,梁智鴻,1,1,Edward,Breakfast Group,1,FC,Medical
35,1998,Sophie LEUNG LAU Yau-fun,梁劉柔芬,2,1,Sophie,Liberal,1,FC,Textiles and Garment
36,1998,LEUNG Yiu-chung,梁耀忠,1,0,,NWSC,0,GC,New Territories West
37,1998,Gary CHENG Kai-nam,程介南,1,1,Gary,DAB,1,GC,Hong Kong Island
38,1998,SIN Chung-kai,單仲偕,1,0,,Democratic,0,FC,Information Technology
39,1998,Andrew WONG Wang-fat,黃宏發,1,1,Andrew,Independent,0,GC,New Territories East
40,1998,Philip WONG Yu-hong,黃宜弘,1,1,Philip,Independent,1,FC,Commercial - Second
41,1998,WONG Yung-kan,黃容根,1,0,,DAB,1,FC,Agriculture and Fisheries
42,1998,Jasper TSANG Yok-sing,曾鈺成,1,1,Jasper,DAB,1,GC,Kowloon West
43,1998,Howard YOUNG,楊孝華,1,1,Howard,Liberal,1,FC,Tourism
44,1998,YEUNG Sum,楊森,1,0,,Democratic,0,GC,Hong Kong Island
45,1998,YEUNG Yiu-chung,楊耀忠,1,0,,DAB,1,FC,Election Committee
46,1998,CHIM Pui-chung,詹培忠,1,0,,Independent,1,FC,Financial Services
47,1998,LAU Chin-shek,劉千石,1,0,,Democratic,0,GC,Kowloon West
48,1998,LAU Kong-wah,劉江華,1,0,,DAB,1,GC,New Territories East
49,1998,LAU Wong-fat,劉皇發,1,0,,Liberal,1,FC,Heung Yee Kuk
50,1998,Miriam LAU Kin-yee,劉健儀,2,1,Miriam,Liberal,1,FC,Transport
51,1998,Ambrose LAU Hon-chuen,劉漢銓,1,1,Ambrose,Progressive Alliance,1,FC,Election Committee
52,1998,Emily LAU Wai-hing,劉慧卿,2,1,Emily,Frontier,0,GC,New Territories East
53,1998,TANG Siu-tong,鄧兆棠,1,0,,Progressive Alliance,1,FC,Regional Council
54,1998,CHOY So-yuk,蔡素玉,2,0,,Progressive Alliance,1,FC,Election Committee
55,1998,Andrew CHENG Kar-foo,鄭家富,1,1,Andrew,Democratic,0,GC,New Territories East
56,1998,SZETO Wah,司徒華,1,0,,Democratic,0,GC,Kowloon East
57,1998,Timothy FOK Tsun-ting,霍震霆,1,1,Timothy,Independent,1,FC,"Sports, Performing Arts, Culture and Publication"
58,1998,LAW Chi-kwong,羅致光,1,0,,Democratic,0,FC,Social Welfare
59,1998,TAM Yiu-chung,譚耀宗,1,0,,DAB,1,GC,New Territories West
60,1998,FUNG Chi-kin,馮志堅,1,0,,Progressive Alliance,1,FC,Financial Services
109,2000,Abraham SHEK Lai-him,石禮謙,1,1,Abraham,Breakfast Group,1,FC,Real Estate and Construction
110,2000,LI Fung-ying,李鳳英,2,0,,FLU,1,FC,Labour
111,2000,Henry WU King-cheong,胡經昌,1,1,Henry,Independent,1,FC,Financial Services
112,2000,Tommy CHEUNG Yu-yan,張宇人,1,1,Tommy,Liberal,1,FC,Catering
